Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
uncharacterized protein [Lepeophtheirus salmonis],Lepeophtheirus salmonis,805,805,100%,0.0,99.23,504,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_040566374.1?report=genbank&log$=prottop&blast_rank=1&RID=UKXTYDAD016"",""XP_040566374.1"")"
fez family zinc finger protein erm-like [Amyelois transitella],Amyelois transitella,347,347,74%,4e-114,56.21,373,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_013193734.1?report=genbank&log$=prottop&blast_rank=2&RID=UKXTYDAD016"",""XP_013193734.1"")"
uncharacterized protein erm [Epargyreus clarus],Epargyreus clarus,347,347,72%,5e-114,56.86,373,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_072945842.1?report=genbank&log$=prottop&blast_rank=3&RID=UKXTYDAD016"",""XP_072945842.1"")"
fez family zinc finger protein erm-like [Plodia interpunctella],Plodia interpunctella,347,347,84%,7e-114,54.03,369,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_053619201.1?report=genbank&log$=prottop&blast_rank=4&RID=UKXTYDAD016"",""XP_053619201.1"")"
fez family zinc finger protein erm-like [Maniola hyperantus],Maniola hyperantus,347,347,75%,1e-113,55.88,373,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_034836782.1?report=genbank&log$=prottop&blast_rank=5&RID=UKXTYDAD016"",""XP_034836782.1"")"
fez family zinc finger protein erm-like [Bombyx mandarina],Bombyx mandarina,346,346,72%,2e-113,57.97,372,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_028044330.1?report=genbank&log$=prottop&blast_rank=6&RID=UKXTYDAD016"",""XP_028044330.1"")"
fez family zinc finger protein erm [Bombyx mori],Bombyx mori,346,346,72%,2e-113,57.04,372,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004923522.1?report=genbank&log$=prottop&blast_rank=7&RID=UKXTYDAD016"",""XP_004923522.1"")"
fez family zinc finger protein erm-like [Maniola jurtina],Maniola jurtina,345,345,73%,3e-113,57.14,373,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_045779858.1?report=genbank&log$=prottop&blast_rank=8&RID=UKXTYDAD016"",""XP_045779858.1"")"
fez family zinc finger protein erm-like [Melitaea cinxia],Melitaea cinxia,345,345,74%,3e-113,55.81,372,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_045456416.1?report=genbank&log$=prottop&blast_rank=9&RID=UKXTYDAD016"",""XP_045456416.1"")"
fez family zinc finger protein erm-like [Bicyclus anynana],Bicyclus anynana,344,344,71%,7e-113,59.30,371,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_023939648.2?report=genbank&log$=prottop&blast_rank=10&RID=UKXTYDAD016"",""XP_023939648.2"")"
fez family zinc finger protein erm-like [Nymphalis io],Nymphalis io,344,344,74%,8e-113,55.81,372,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_050357160.1?report=genbank&log$=prottop&blast_rank=11&RID=UKXTYDAD016"",""XP_050357160.1"")"
fez family zinc finger protein erm-like [Battus philenor],Battus philenor,344,344,68%,1e-112,60.82,366,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_068624829.1?report=genbank&log$=prottop&blast_rank=12&RID=UKXTYDAD016"",""XP_068624829.1"")"
fez family zinc finger protein erm-like [Ostrinia furnacalis],Ostrinia furnacalis,343,343,71%,3e-112,58.48,372,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_028178417.1?report=genbank&log$=prottop&blast_rank=13&RID=UKXTYDAD016"",""XP_028178417.1"")"
fez family zinc finger protein erm-like [Ostrinia nubilalis],Ostrinia nubilalis,342,342,71%,3e-112,58.48,333,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_063834938.1?report=genbank&log$=prottop&blast_rank=14&RID=UKXTYDAD016"",""XP_063834938.1"")"
fez family zinc finger protein erm-like [Pieris rapae],Pieris rapae,342,342,70%,4e-112,59.51,371,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_022112743.1?report=genbank&log$=prottop&blast_rank=15&RID=UKXTYDAD016"",""XP_022112743.1"")"
fez family zinc finger protein erm-like [Pieris brassicae],Pieris brassicae,342,342,70%,5e-112,57.84,371,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_045519447.1?report=genbank&log$=prottop&blast_rank=16&RID=UKXTYDAD016"",""XP_045519447.1"")"
fez family zinc finger protein 2-like [Orussus abietinus],Orussus abietinus,342,342,84%,6e-112,52.59,378,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012278412.1?report=genbank&log$=prottop&blast_rank=17&RID=UKXTYDAD016"",""XP_012278412.1"")"
fez family zinc finger protein erm-like [Pieris napi],Pieris napi,342,342,70%,1e-111,57.84,371,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_047519825.1?report=genbank&log$=prottop&blast_rank=18&RID=UKXTYDAD016"",""XP_047519825.1"")"
fez family zinc finger protein erm-like [Pararge aegeria],Pararge aegeria,341,341,74%,1e-111,56.57,372,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_039761183.1?report=genbank&log$=prottop&blast_rank=19&RID=UKXTYDAD016"",""XP_039761183.1"")"
fez family zinc finger protein erm-like [Leptidea sinapis],Leptidea sinapis,341,341,69%,2e-111,60.07,371,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_050678418.1?report=genbank&log$=prottop&blast_rank=20&RID=UKXTYDAD016"",""XP_050678418.1"")"
fez family zinc finger protein erm-like [Achroia grisella],Achroia grisella,341,341,72%,2e-111,58.50,373,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_059047141.1?report=genbank&log$=prottop&blast_rank=21&RID=UKXTYDAD016"",""XP_059047141.1"")"
